Timestamp,PWM,Signal_995,Distance_mm
0.0001,19,0,0
0.0199,19,0,0
0.0295,19,0,0
0.0395,19,0,0
0.0496,11,0,0.034
0.0594,4,0,0.1
0.0695,0,0,0.193
0.0797,0,0,0.312
0.0894,0,0,0.44
0.0995,0,0,0.575
0.1095,0,0,0.704
0.1196,0,0,0.821
0.1295,0,0,0.928
0.1395,0,0,1.024
0.1495,0,0,1.11
0.1594,0,0,1.189
0.1695,1,0,1.26
0.1795,2,0,1.324
0.1897,3,0,1.383
0.1995,5,0,1.435
0.2096,6,0,1.483
0.2196,6,0,1.528
0.2294,6,0,1.572
0.2395,6,0,1.618
0.2496,5,0,1.668
0.2594,3,0,1.724
0.2695,2,0,1.786
0.2795,1,0,1.852
0.2896,0,0,1.924
0.2995,0,0,1.997
0.3095,0,0,2.069
0.3195,0,0,2.138
0.3294,1,0,2.201
0.3394,2,0,2.259
0.3495,3,0,2.312
0.3595,4,0,2.359
0.3695,5,0,2.402
0.3795,6,0,2.442
0.3895,6,0,2.483
0.3996,5,0,2.525
0.4095,4,0,2.57
0.4195,3,0,2.62
0.4296,2,0,2.676
0.4394,0,0,2.737
0.4495,0,0,2.802
0.4595,0,0,2.868
0.4696,0,0,2.932
0.4794,0,0,2.995
0.4895,1,0,3.051
0.5094,2,0,3.102
0.5195,3,0,3.148
0.5296,4,0,3.19
0.5396,5,0,3.228
0.5495,5,0,3.264
0.5595,5,0,3.3
0.5696,4,0,3.338
0.5795,4,0,3.38
0.5894,2,0,3.427
0.5995,1,0,3.478
0.6096,0,0,3.534
0.6195,0,0,3.591
0.6296,0,0,3.651
0.6395,0,0,3.708
0.6495,0,0,3.761
0.6595,1,0,3.81
0.6696,2,0,3.854
0.6796,3,0,3.893
0.6895,4,0,3.929
0.6995,5,0,3.962
0.7096,5,0,3.991
0.7197,6,0,4.02
0.7295,5,0,4.049
0.7395,5,0,4.081
0.7496,4,0,4.117
0.7595,2,0,4.159
0.7695,1,0,4.206
0.7796,0,0,4.259
0.7894,0,0,4.316
0.7996,0,0,4.377
0.8095,0,0,4.439
0.8196,0,0,4.499
0.8295,0,0,4.555
0.8396,0,0,4.605
0.8497,0,0,4.651
0.8596,1,0,4.693
0.8695,2,0,4.73
0.8795,3,0,4.764
0.8896,4,0,4.795
0.8994,4,0,4.823
0.9095,5,0,4.848
0.9196,5,0,4.872
0.9296,5,0,4.898
0.9396,4,0,4.927
0.9494,3,0,4.96
0.9597,2,0,4.998
0.9695,0,0,5.04
0.9795,0,0,5.088
0.9895,0,0,5.141
0.9996,0,0,5.195
1.0095,0,0,5.25
1.0195,0,0,5.303
1.0297,0,0,5.351
1.0395,0,0,5.395
1.0495,0,0,5.434
1.0595,1,0,5.47
1.0696,2,0,5.502
1.0795,3,0,5.531
1.0895,3,0,5.557
1.0995,4,0,5.581
1.1095,4,0,5.603
1.1195,4,0,5.624
1.1296,4,0,5.647
1.1396,3,0,5.673
1.1495,2,0,5.702
1.1596,1,0,5.736
1.1696,0,0,5.774
1.1794,0,0,5.815
1.1895,0,0,5.859
1.1995,0,0,5.905
1.2096,0,0,5.95
1.2195,0,0,5.993
1.2295,0,0,6.031
1.2396,0,0,6.066
1.2495,1,0,6.097
1.2595,2,0,6.126
1.2696,2,0,6.152
1.2796,3,0,6.175
1.2894,3,0,6.196
1.2996,4,0,6.215
1.3096,4,0,6.234
1.3195,3,0,6.255
1.3296,3,0,6.278
1.3396,2,0,6.303
1.3494,1,0,6.332
1.3596,0,0,6.365
1.3696,0,0,6.403
1.3795,0,0,6.442
1.3895,0,0,6.483
1.3996,0,0,6.523
1.4096,0,0,6.562
1.4195,0,0,6.597
1.4296,0,0,6.628
1.4396,1,0,6.657
1.4495,1,0,6.683
1.4595,2,0,6.706
1.4702,2,0,6.727
1.4794,3,0,6.746
1.4895,3,0,6.764
1.4996,3,0,6.781
1.5096,3,0,6.799
1.5195,3,0,6.818
1.5296,2,0,6.84
1.5396,1,0,6.864
1.5495,0,0,6.892
1.5595,0,0,6.923
1.5696,0,0,6.956
1.5795,0,0,6.991
1.5895,0,0,7.026
1.5996,0,0,7.06
1.6096,0,0,7.091
1.6196,0,0,7.119
1.6295,1,0,7.144
1.6396,1,0,7.167
1.6495,2,0,7.188
1.6596,2,0,7.206
1.6696,2,0,7.223
1.6795,3,0,7.239
1.6895,3,0,7.254
1.6995,3,0,7.27
1.7096,2,0,7.288
1.7195,2,0,7.308
1.7296,1,0,7.33
1.7396,0,0,7.355
1.7495,0,0,7.383
1.7595,0,0,7.414
1.7698,0,0,7.445
1.7795,0,0,7.477
1.7895,0,0,7.508
1.7996,0,0,7.536
1.8095,0,0,7.561
1.8195,0,0,7.584
1.8296,1,0,7.605
1.8396,1,0,7.623
1.8495,2,0,7.64
1.8596,2,0,7.656
1.8696,2,0,7.67
1.8795,3,0,7.682
1.8896,2,0,7.695
1.8996,2,0,7.709
1.9095,2,0,7.725
1.9195,1,0,7.743
1.9296,1,0,7.763
1.9396,0,0,7.787
1.9495,0,0,7.811
1.9596,0,0,7.838
1.9697,0,0,7.865
1.9795,0,0,7.891
1.9895,0,0,7.917
1.9996,0,0,7.94
2.0094,0,0,7.961
2.0195,1,0,7.981
2.0297,1,0,7.998
2.0396,1,0,8.013
2.0495,2,0,8.028
2.0595,2,0,8.04
2.0696,2,0,8.052
2.0795,2,0,8.064
2.0895,2,0,8.077
2.0996,2,0,8.091
2.1095,1,0,8.106
2.1195,1,0,8.124
2.1296,0,0,8.144
2.1396,0,0,8.166
2.1495,0,0,8.189
2.1595,0,0,8.213
2.1696,0,0,8.237
2.1795,0,0,8.261
2.1896,0,0,8.282
2.1996,0,0,8.302
2.2096,0,0,8.319
2.2195,1,0,8.335
2.2296,1,0,8.349
2.2397,1,0,8.362
2.2495,2,0,8.374
2.2597,2,0,8.384
2.2696,2,0,8.394
2.2795,2,0,8.404
2.2895,2,0,8.415
2.2996,1,0,8.427
2.3094,1,0,8.442
2.3195,0,0,8.459
2.3296,0,0,8.477
2.3396,0,0,8.498
2.3496,0,0,8.52
2.3596,0,0,8.542
2.3696,0,0,8.564
2.3795,0,0,8.583
2.3896,0,0,8.601
2.3996,0,0,8.617
2.4095,0,0,8.632
2.4197,1,0,8.645
2.4296,1,0,8.657
2.4396,1,0,8.667
