Timestamp,PWM,Signal_995,Distance_mm
0,79,0,0
0.0099,79,0,0
0.0199,79,0,0
0.03,79,0,0
0.0399,45,0,0.143
0.0499,13,0,0.415
0.06,0,0,0.803
0.0698,0,0,1.298
0.0799,0,0,1.826
0.0899,0,0,2.328
0.1,0,0,2.782
0.1199,0,0,3.193
0.13,0,0,3.565
0.1399,0,0,3.901
0.1499,0,0,4.205
0.1599,0,0,4.481
0.17,0,0,4.73
0.1799,0,0,4.955
0.19,0,0,5.159
0.2,0,0,5.344
0.2099,1,0,5.511
0.2199,3,0,5.662
0.2299,5,0,5.799
0.24,8,0,5.922
0.2499,9,0,6.034
0.2599,11,0,6.138
0.27,11,0,6.236
0.2799,10,0,6.335
0.2899,8,0,6.438
0.3001,6,0,6.548
0.3098,3,0,6.667
0.3198,0,0,6.795
0.33,0,0,6.929
0.34,0,0,7.064
0.3499,0,0,7.198
0.36,0,0,7.324
0.37,0,0,7.438
0.3899,1,0,7.541
0.4,2,0,7.634
0.4102,4,0,7.719
0.4198,5,0,7.795
0.43,6,0,7.865
0.44,7,0,7.927
0.4498,8,0,7.986
0.4599,8,0,8.042
0.4699,7,0,8.101
0.48,6,0,8.162
0.4899,4,0,8.229
0.4999,2,0,8.302
0.5103,0,0,8.383
0.5198,0,0,8.47
0.5299,0,0,8.562
0.54,0,0,8.656
0.55,0,0,8.748
0.5599,0,0,8.835
0.5699,0,0,8.913
0.58,0,0,8.985
0.5899,0,0,9.049
0.5999,0,0,9.107
0.61,1,0,9.16
0.62,1,0,9.208
0.6299,2,0,9.251
0.6399,3,0,9.29
0.6502,3,0,9.325
0.6599,4,0,9.357
0.6699,4,0,9.388
0.6801,4,0,9.418
0.69,4,0,9.448
0.6999,3,0,9.481
0.71,2,0,9.516
0.72,1,0,9.555
0.7299,0,0,9.598
0.7399,0,0,9.644
0.75,0,0,9.692
0.76,0,0,9.742
0.7699,0,0,9.79
0.7799,0,0,9.836
0.79,0,0,9.877
0.7999,0,0,9.914
0.8099,0,0,9.948
0.82,0,0,9.979
0.83,0,0,10.006
0.8399,1,0,10.031
0.85,1,0,10.054
0.8602,1,0,10.074
0.8699,2,0,10.093
0.88,2,0,10.11
0.89,2,0,10.125
0.9002,2,0,10.14
0.9099,2,0,10.156
0.9199,2,0,10.172
0.93,1,0,10.191
0.9401,1,0,10.211
0.9499,0,0,10.232
0.96,0,0,10.256
0.97,0,0,10.281
0.9801,0,0,10.307
0.99,0,0,10.332
1,0,0,10.357
1.01,0,0,10.379
1.0198,0,0,10.399
1.0299,0,0,10.417
1.04,0,0,10.434
1.05,0,0,10.449
1.0599,0,0,10.463
1.0699,0,0,10.475
1.08,1,0,10.486
1.09,1,0,10.496
1.0999,1,0,10.505
1.1099,1,0,10.513
1.12,1,0,10.521
1.1299,1,0,10.528
1.1399,1,0,10.535
1.1503,1,0,10.544
1.1601,0,0,10.554
1.1699,0,0,10.565
