Timestamp,PWM,Signal_995,Distance_mm
0.0001,202,0,0
0.0078,202,0,0
0.0175,202,0,0
0.0276,202,0,0
0.0374,202,0,0
0.0476,202,0,0
0.0575,202,0,0
0.0674,202,0,0
0.0775,202,0,0
0.0875,202,0,0
0.0975,202,0,0
0.1075,202,0,0
0.1175,202,0,0
0.1276,202,0,0
0.1375,202,0,0
0.1475,202,0,0
0.1575,202,0,0
0.1673,202,0,0
0.1774,202,0,0
0.1875,202,0,0
0.1974,202,0,0
0.2075,202,0,0
0.2175,202,0,0
0.2274,202,0,0
0.2375,202,0,0
0.2475,202,0,0
0.2574,202,0,0
0.2674,202,0,0
0.2775,202,0,0
0.2875,202,0,0
0.2974,202,0,2.863
0.3075,0,0,8.067
0.3175,0,0,13.011
0.3275,202,0,15.093
0.3375,202,0,14.833
0.3475,202,0,17.435
0.3574,0,0,22.64
0.3675,0,0,27.584
0.3775,202,0,29.406
0.3875,202,0,29.926
0.3974,42,0,33.569
0.4075,0,0,38.774
0.4175,202,0,41.376
0.4274,202,0,41.116
0.4375,202,0,43.718
0.4475,0,0,48.923
0.4574,0,0,54.128
0.4675,202,0,55.689
0.4777,202,0,55.168
0.4875,120,0,58.291
0.4974,0,0,63.496
0.5077,0,0,67.139
0.5174,202,0,67.399
0.5274,202,0,67.399
0.5375,202,0,70.522
0.5476,0,0,75.727
0.5574,4,0,80.671
0.5677,202,0,82.232
0.5775,202,0,81.972
0.5874,202,0,83.533
0.5976,6,0,88.478
0.6075,0,0,93.682
0.6174,202,0,95.504
0.6275,202,0,94.983
0.6375,202,0,98.106
0.6474,0,0,103.571
0.6575,7,0,108.515
0.6675,202,0,109.816
0.6774,202,0,109.556
0.6875,0,0,112.939
0.6975,0,0,118.144
0.7075,202,0,120.226
0.7177,202,0,119.705
0.7275,70,0,122.568
0.7375,0,0,128.032
0.7474,0,0,131.155
0.7575,202,0,130.375
0.7675,202,0,129.854
0.7774,202,0,133.497
0.7875,0,0,138.962
0.7975,70,0,143.646
0.8075,202,0,144.947
0.8175,202,0,145.988
0.8275,0,0,150.152
0.8375,0,0,155.617
0.8476,202,0,156.918
0.8575,202,0,156.137
0.8676,0,0,159.52
0.8775,0,0,164.985
0.8876,202,0,166.546
0.8976,202,0,165.766
0.9074,0,0,169.409
0.9175,0,0,174.874
0.9275,202,0,176.175
0.9374,202,0,175.394
0.9475,0,0,179.037
0.9575,0,0,184.762
0.9675,202,0,186.063
0.9775,202,0,185.283
0.9875,0,0,188.926
0.9974,0,0,194.651
1.0075,202,0,195.432
1.0176,202,0,194.911
1.0276,0,0,198.815
1.0375,0,0,204.279
1.0475,202,0,205.32
1.0575,202,0,204.8
1.0675,0,0,208.703
1.0775,0,0,214.168
1.0876,202,0,215.209
1.0975,202,0,214.689
1.1075,0,0,218.592
1.1175,0,0,224.057
1.1274,202,0,224.838
1.1375,202,0,224.317
1.1475,0,0,228.22
1.1574,0,0,233.685
1.1675,202,0,234.726
1.1775,202,0,234.206
1.1875,0,0,238.109
1.1974,0,0,243.574
1.2075,202,0,244.875
1.2175,202,0,244.094
1.2274,0,0,247.738
1.2375,0,0,253.463
1.2475,202,0,254.243
1.2574,202,0,253.723
1.2674,0,0,257.887
1.2775,0,0,263.091
1.2875,202,0,263.872
1.2975,202,0,263.091
1.3075,0,0,266.995
1.3175,0,0,272.72
1.3275,202,0,273.76
1.3375,202,0,272.98
1.3475,0,0,276.623
1.3574,0,0,282.348
1.3675,202,0,283.389
1.3776,202,0,282.608
1.3875,0,0,286.772
1.3975,0,0,292.237
1.4075,202,0,293.017
1.4174,202,0,292.497
1.4275,0,0,296.4
1.4375,0,0,301.865
1.4475,202,0,302.386
1.4575,202,0,301.865
1.4677,0,0,305.769
1.4775,0,0,310.973
1.4875,202,0,311.233
1.4977,202,0,310.973
1.5075,0,0,315.657
1.5174,0,0,320.602
1.5275,202,0,320.602
1.5375,202,0,320.602
1.5476,0,0,325.286
1.5575,53,0,329.71
1.5675,202,0,329.71
1.5775,202,0,331.011
1.5875,0,0,336.215
1.5975,82,0,340.379
1.6075,202,0,340.639
1.6174,202,0,342.461
1.6275,0,0,347.665
1.6375,0,0,352.089
1.6474,202,0,352.089
1.6575,202,0,352.089
1.6675,0,0,357.034
1.6773,0,0,361.718
1.6875,202,0,361.718
1.6975,202,0,361.718
1.7075,0,0,366.662
1.7175,202,0,370.826
1.7275,202,0,371.086
1.7375,28,0,376.03
1.7474,0,0,380.194
1.7575,202,0,380.454
1.7675,202,0,380.714
1.7774,0,0,385.919
1.7875,0,0,390.083
1.7975,202,0,389.822
1.8075,202,0,390.083
1.8175,28,0,395.027
1.8275,0,0,399.191
1.8375,202,0,399.711
1.8475,191,0,399.971
1.8575,89,0,404.655
1.8675,0,0,408.819
1.8774,202,0,410.38
1.8875,172,0,410.641
1.8975,0,0,415.845
1.9075,0,0,418.968
1.9175,202,0,418.708
1.9275,36,0,419.488
1.9375,89,0,424.173
1.9475,0,0,425.214
1.9575,202,0,426.775
1.9675,22,0,427.556
1.9775,150,0,431.979
1.9875,0,0,433.02
1.9975,202,0,435.623
2.0075,7,0,436.403
2.0175,147,0,440.307
2.0275,0,0,441.868
2.0376,202,0,443.69
2.0475,0,0,444.991
2.0575,0,0,449.155
2.0676,164,0,449.155
2.0775,202,0,449.675
2.0875,0,0,453.839
2.0975,0,0,457.742
2.1076,202,0,457.482
2.1175,202,0,458.263
2.1275,0,0,462.947
2.1375,0,0,466.85
2.1474,192,0,466.59
2.1574,202,0,467.631
2.1675,0,0,472.575
2.1774,0,0,476.739
2.1874,173,0,476.479
2.1975,0,0,477.519
2.2074,0,0,480.902
2.2175,0,0,481.423
2.2275,202,0,480.902
2.2376,0,0,481.943
2.2474,0,0,485.847
2.2575,94,0,485.847
2.2675,34,0,486.107
2.2776,0,0,487.929
2.2875,0,0,488.449
2.2976,150,0,488.189
2.3075,0,0,489.23
2.3175,0,0,491.572
2.3275,144,0,491.312
2.3374,0,0,492.353
2.3475,0,0,494.695
2.3575,77,0,494.695
2.3676,17,0,494.955
2.3776,0,0,496.256
2.3876,0,0,496.776
2.3976,133,0,496.516
2.4075,0,0,497.557
2.4175,0,0,500.159
2.4276,127,0,499.899
2.4375,0,0,500.68
2.4475,0,0,503.282
2.4576,121,0,503.022
2.4675,0,0,503.542
2.4775,0,0,505.884
2.4876,55,0,505.884
2.4974,0,0,506.145
2.5075,0,0,506.925
2.5176,113,0,506.665
2.5275,0,0,507.706
2.5375,0,100,509.788
2.5476,0,100,509.788
2.5575,0,100,509.528
2.5675,0,100,509.788
2.5776,0,100,509.788
2.5875,0,100,509.788
2.5975,0,100,509.788
2.6075,0,100,509.788
2.6175,0,100,509.788
2.6275,0,100,509.788
2.6375,0,100,509.788
2.6476,0,100,509.788
2.6574,0,100,509.788
2.6675,0,100,509.788
2.6776,0,100,509.788
2.6875,0,100,509.788
2.6975,0,100,509.788
2.7075,0,100,509.788
2.7174,0,100,509.788
2.7275,0,100,509.788
2.7375,0,100,509.788
2.7474,0,100,509.788
2.7575,0,100,509.788
2.7675,0,100,509.788
2.7776,0,100,509.788
2.7875,0,100,509.788
