Timestamp,PWM,Signal_995,Distance_mm
0.0001,202,0,-1.301
0.0099,202,0,-1.301
0.0199,202,0,-1.301
0.0298,202,0,-1.301
0.0399,202,0,-1.301
0.0503,202,0,-1.301
0.0602,202,0,-1.301
0.0703,202,0,-1.301
0.0799,202,0,-1.301
0.09,202,0,-1.301
0.1002,202,0,-1.301
0.1102,202,0,-1.301
0.1201,202,0,-1.301
0.1306,202,0,-1.301
0.1404,202,0,-1.301
0.1505,202,0,-1.301
0.1604,202,0,-1.301
0.1709,202,0,-1.301
0.1803,202,0,-1.301
0.1904,202,0,-1.301
0.2007,202,0,-1.301
0.2105,202,0,-1.301
0.2205,202,0,-1.301
0.2307,202,0,-1.301
0.2403,202,0,-1.301
0.2502,202,0,-1.301
0.2604,202,0,-1.301
0.2704,202,0,-1.301
0.2807,202,0,-1.301
0.2906,202,0,-1.301
0.3002,202,0,-1.301
0.3102,202,0,-1.301
0.3199,202,0,-1.301
0.3304,202,0,-1.301
0.3403,202,0,-1.301
0.3505,202,0,-1.301
0.3604,202,0,-1.301
0.3704,202,0,-1.301
0.3812,202,0,-1.301
0.3906,202,0,-1.301
0.4006,202,0,-1.301
0.4106,202,0,-1.301
0.4206,202,0,-1.301
0.4303,202,0,-1.301
0.4406,202,0,-1.301
0.4511,202,0,-1.301
0.4602,202,0,-1.301
0.47,202,0,-1.301
0.48,202,0,-1.301
0.49,202,0,-1.301
0.5002,202,0,-1.301
0.5104,202,0,-1.301
0.5202,202,0,-1.301
0.5303,202,0,-1.301
0.5403,202,0,-1.301
0.5502,202,0,-1.301
0.5603,202,0,-1.301
0.5702,202,0,-1.301
0.5804,202,0,-1.301
0.5903,202,0,-1.301
0.6007,202,0,-1.301
0.6102,202,0,-1.301
0.6202,202,0,-0.781
0.6309,202,0,3.643
0.6405,170,0,8.848
0.6505,202,0,13.272
0.6606,202,0,17.175
0.6701,202,0,22.119
0.6805,202,0,26.804
0.6901,202,0,31.227
0.7006,202,0,36.172
0.7107,202,0,41.116
0.7206,202,0,45.54
0.7302,202,0,50.484
0.7402,202,0,55.168
0.7503,202,0,59.853
0.7604,202,0,64.797
0.7707,202,0,69.481
0.7806,202,0,74.165
0.7905,202,0,78.849
0.8004,202,0,83.794
0.8107,202,0,88.478
0.8206,202,0,93.162
0.8306,202,0,98.106
0.8406,202,0,102.79
0.8506,202,0,107.474
0.8606,202,0,112.419
0.8701,202,0,117.103
0.88,202,0,121.787
0.89,170,0,126.992
0.9,202,0,131.415
0.91,202,0,135.059
0.9205,170,0,140.263
0.93,202,0,144.947
0.94,202,0,148.591
0.9505,202,0,153.535
0.9603,202,0,158.479
0.9704,202,0,162.903
0.9804,202,0,167.847
0.9903,202,0,172.532
1,202,0,177.216
1.0101,202,0,182.16
1.0202,202,0,186.844
1.03,202,0,191.528
1.0402,202,0,196.473
1.0501,202,0,201.157
1.0599,202,0,205.841
1.0705,202,0,210.785
1.0805,202,0,215.469
1.0902,202,0,220.153
1.1004,202,0,224.838
1.111,202,0,229.782
1.1203,202,0,234.466
1.1306,202,0,239.15
1.1405,202,0,244.094
1.1506,202,0,248.779
1.1605,202,0,253.463
1.1701,202,0,258.407
1.1803,202,0,263.091
1.1905,202,0,267.775
1.2005,202,0,272.72
1.2106,202,0,277.404
1.2206,202,0,282.088
1.2305,202,0,287.032
1.2402,202,0,291.716
1.2501,202,0,296.4
1.2607,202,0,301.345
1.2704,202,0,306.029
1.2808,202,0,310.453
1.2906,202,0,315.397
1.3005,202,0,320.081
1.3106,202,0,324.765
1.3204,202,0,329.71
1.3306,202,0,334.394
1.3406,202,0,339.078
1.3506,202,0,344.022
1.3606,202,0,348.706
1.3705,202,0,353.39
1.3801,202,0,358.335
1.3902,202,0,363.019
1.4006,200,0,367.703
1.4105,104,0,372.647
1.4206,202,0,376.811
1.4302,202,0,379.413
1.4399,0,0,384.618
1.4504,202,0,388.521
1.4606,202,0,389.302
1.4711,11,0,393.986
1.4804,39,0,398.41
1.4906,202,0,398.15
1.501,202,0,400.232
1.5101,0,0,405.436
1.5202,202,0,408.819
1.5304,202,0,409.34
1.5402,0,0,414.544
1.5502,77,0,418.187
1.5603,202,0,418.448
1.5703,202,0,421.05
1.5806,0,0,425.994
1.5902,0,0,429.637
1.6003,202,0,429.377
1.6106,202,0,430.678
1.6202,0,0,435.623
1.6307,0,0,439.526
1.6402,202,0,439.266
1.651,202,0,440.567
1.6603,0,0,445.772
1.6703,0,0,449.415
1.6809,202,0,448.894
1.6903,202,0,450.456
1.7006,0,0,455.4
1.7107,0,0,458.523
1.7206,202,0,458.523
1.7305,202,0,460.084
1.7411,0,0,465.029
1.7501,0,0,468.411
1.7605,202,0,468.411
1.7702,202,0,469.713
1.7808,0,0,474.917
1.7907,0,0,478.3
1.8,202,0,478.04
1.8106,174,0,479.341
1.8207,0,0,484.285
1.8305,0,0,486.888
1.8406,202,0,486.367
1.8506,51,0,487.929
1.8607,0,0,491.832
1.8705,202,0,492.353
1.8804,7,0,493.914
1.8903,0,0,497.817
1.9,202,0,498.078
1.9106,0,0,499.639
1.9201,0,0,503.542
1.9301,202,0,503.282
1.94,0,0,504.843
1.9499,0,100,508.747
1.9604,0,100,509.007
1.9705,0,100,508.747
1.9806,0,100,508.747
1.9906,0,100,508.747
2,0,100,508.747
2.0099,0,100,508.747
2.02,0,100,508.747
2.0301,0,100,508.747
2.0404,0,100,508.747
2.0506,0,100,508.747
2.0602,0,100,508.747
2.0702,0,100,508.747
2.0807,0,100,508.747
2.0902,0,100,508.747
2.1002,0,100,508.747
2.1103,0,100,508.747
2.1203,0,100,508.747
2.1309,0,100,508.747
2.1404,0,100,508.747
2.1503,0,100,508.747
2.1605,0,100,508.747
